
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
Weights 0.000_1.000, last 10 training episodes: mean/median length 99.7/94.5, mean/median reward 378.5/355.9, min/max reward 307.7/498.2
[RL] Updates 125, num timesteps 2064384, FPS 738, time 2795.7813131809235 
Weights 0.000_1.000, last 10 training episodes: mean/median length 117.6/122.0, mean/median reward 445.0/457.1, min/max reward 281.2/546.4
[RL] Updates 130, num timesteps 2146304, FPS 735, time 2918.3749582767487 
Weights 0.000_1.000, last 10 training episodes: mean/median length 136.5/134.5, mean/median reward 537.5/525.7, min/max reward 382.5/709.3
[RL] Updates 135, num timesteps 2228224, FPS 732, time 3040.191637992859 
Weights 0.000_1.000, last 10 training episodes: mean/median length 133.5/126.0, mean/median reward 531.2/509.3, min/max reward 363.7/768.4
[RL] Updates 140, num timesteps 2310144, FPS 730, time 3162.9214890003204 
Weights 0.000_1.000, last 10 training episodes: mean/median length 132.5/126.5, mean/median reward 520.5/498.1, min/max reward 335.8/721.3
[RL] Updates 145, num timesteps 2392064, FPS 728, time 3284.1617238521576 
Weights 0.000_1.000, last 10 training episodes: mean/median length 155.7/147.0, mean/median reward 624.0/593.4, min/max reward 419.1/956.9
[RL] Updates 150, num timesteps 2473984, FPS 726, time 3404.9374401569366 
Weights 0.000_1.000, last 10 training episodes: mean/median length 133.6/129.0, mean/median reward 548.2/530.5, min/max reward 448.5/707.3
[RL] Updates 155, num timesteps 2555904, FPS 724, time 3527.299202442169 
Weights 0.000_1.000, last 10 training episodes: mean/median length 132.9/123.5, mean/median reward 553.9/518.4, min/max reward 388.9/784.0
[RL] Updates 160, num timesteps 2637824, FPS 722, time 3652.546586751938 
Weights 0.000_1.000, last 10 training episodes: mean/median length 161.9/159.0, mean/median reward 681.3/666.8, min/max reward 528.0/919.3
[RL] Updates 165, num timesteps 2719744, FPS 720, time 3774.0800535678864 
Weights 0.000_1.000, last 10 training episodes: mean/median length 138.8/138.5, mean/median reward 591.8/577.5, min/max reward 473.7/711.5
[RL] Updates 170, num timesteps 2801664, FPS 719, time 3893.0649168491364 
Weights 0.000_1.000, last 10 training episodes: mean/median length 149.0/143.5, mean/median reward 644.8/618.7, min/max reward 512.4/962.9
[RL] Updates 175, num timesteps 2883584, FPS 718, time 4012.0675797462463 
Weights 0.000_1.000, last 10 training episodes: mean/median length 184.9/182.0, mean/median reward 802.2/797.9, min/max reward 674.4/1058.8
[RL] Updates 180, num timesteps 2965504, FPS 718, time 4125.208556652069 
Weights 0.000_1.000, last 10 training episodes: mean/median length 173.5/166.5, mean/median reward 767.5/719.8, min/max reward 533.9/1079.6
[RL] Updates 185, num timesteps 3047424, FPS 721, time 4222.640020132065 
Weights 0.000_1.000, last 10 training episodes: mean/median length 150.7/147.0, mean/median reward 668.5/660.3, min/max reward 512.1/823.7
[RL] Updates 190, num timesteps 3129344, FPS 720, time 4341.753665447235 
Weights 0.000_1.000, last 10 training episodes: mean/median length 146.2/144.5, mean/median reward 657.0/655.5, min/max reward 510.6/783.5
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 629, time 26.02655529975891 
Weights 0.800_0.200, last 10 training episodes: mean/median length 18.3/17.0, mean/median reward 33.1/30.8, min/max reward 27.3/46.9
[RL] Updates 5, num timesteps 98304, FPS 754, time 130.32929825782776 
Weights 0.800_0.200, last 10 training episodes: mean/median length 27.2/26.0, mean/median reward 52.4/48.0, min/max reward 34.5/73.7
[RL] Updates 10, num timesteps 180224, FPS 742, time 242.6185564994812 
Weights 0.800_0.200, last 10 training episodes: mean/median length 42.4/42.5, mean/median reward 76.1/75.4, min/max reward 58.4/117.2
[RL] Updates 15, num timesteps 262144, FPS 735, time 356.49034905433655 
Weights 0.800_0.200, last 10 training episodes: mean/median length 63.0/57.0, mean/median reward 120.3/120.9, min/max reward 74.7/162.0
[RL] Updates 20, num timesteps 344064, FPS 735, time 467.57062244415283 
Weights 0.800_0.200, last 10 training episodes: mean/median length 64.3/63.0, mean/median reward 129.0/115.3, min/max reward 87.4/229.0
[RL] Updates 25, num timesteps 425984, FPS 730, time 582.8353796005249 
Weights 0.800_0.200, last 10 training episodes: mean/median length 70.8/69.0, mean/median reward 146.7/138.3, min/max reward 119.4/198.8
[RL] Updates 30, num timesteps 507904, FPS 731, time 694.0383553504944 
Weights 0.800_0.200, last 10 training episodes: mean/median length 70.3/68.5, mean/median reward 157.9/143.3, min/max reward 126.4/209.9
[RL] Updates 35, num timesteps 589824, FPS 729, time 808.2150266170502 
Weights 0.800_0.200, last 10 training episodes: mean/median length 92.6/80.0, mean/median reward 191.1/165.8, min/max reward 124.6/285.3
[RL] Updates 40, num timesteps 671744, FPS 729, time 920.9506330490112 
Weights 0.800_0.200, last 10 training episodes: mean/median length 94.8/80.5, mean/median reward 202.5/180.7, min/max reward 117.8/304.8
[RL] Updates 45, num timesteps 753664, FPS 728, time 1034.662255525589 
Weights 0.800_0.200, last 10 training episodes: mean/median length 103.5/96.0, mean/median reward 228.9/220.8, min/max reward 184.0/308.0
[RL] Updates 50, num timesteps 835584, FPS 727, time 1148.6234970092773 
Weights 0.800_0.200, last 10 training episodes: mean/median length 94.7/91.5, mean/median reward 210.6/197.6, min/max reward 129.5/363.1
[RL] Updates 55, num timesteps 917504, FPS 724, time 1265.7300486564636 
Weights 0.800_0.200, last 10 training episodes: mean/median length 92.6/92.5, mean/median reward 202.4/209.1, min/max reward 115.8/290.4
[RL] Updates 60, num timesteps 999424, FPS 723, time 1381.4658155441284 
Weights 0.800_0.200, last 10 training episodes: mean/median length 87.7/82.5, mean/median reward 194.9/196.6, min/max reward 74.0/296.6
[RL] Updates 65, num timesteps 1081344, FPS 721, time 1498.618777513504 
Weights 0.800_0.200, last 10 training episodes: mean/median length 91.2/90.5, mean/median reward 219.9/223.7, min/max reward 173.1/271.8
[RL] Updates 70, num timesteps 1163264, FPS 720, time 1614.8185975551605 
Weights 0.800_0.200, last 10 training episodes: mean/median length 102.1/101.0, mean/median reward 238.8/223.2, min/max reward 169.3/334.9
[RL] Updates 75, num timesteps 1245184, FPS 718, time 1732.4445850849152 
Weights 0.800_0.200, last 10 training episodes: mean/median length 107.2/92.0, mean/median reward 245.3/218.6, min/max reward 170.9/336.4
[RL] Updates 80, num timesteps 1327104, FPS 716, time 1851.3684639930725 
Weights 0.800_0.200, last 10 training episodes: mean/median length 116.9/101.5, mean/median reward 258.0/249.2, min/max reward 169.0/400.3
[RL] Updates 85, num timesteps 1409024, FPS 714, time 1970.8674523830414 
Weights 0.800_0.200, last 10 training episodes: mean/median length 115.2/105.5, mean/median reward 264.9/242.7, min/max reward 197.4/390.3
[RL] Updates 90, num timesteps 1490944, FPS 713, time 2088.5171785354614 
Weights 0.800_0.200, last 10 training episodes: mean/median length 119.3/107.0, mean/median reward 267.7/247.6, min/max reward 172.8/395.8
[RL] Updates 95, num timesteps 1572864, FPS 712, time 2206.838530778885 
Weights 0.800_0.200, last 10 training episodes: mean/median length 101.9/96.5, mean/median reward 252.8/244.0, min/max reward 194.4/314.8
[RL] Updates 100, num timesteps 1654784, FPS 712, time 2322.711469888687 
Weights 0.800_0.200, last 10 training episodes: mean/median length 126.9/128.0, mean/median reward 296.8/297.9, min/max reward 216.1/368.8
[RL] Updates 105, num timesteps 1736704, FPS 711, time 2439.529757976532 
Weights 0.800_0.200, last 10 training episodes: mean/median length 103.0/105.5, mean/median reward 261.7/281.5, min/max reward 123.4/339.3
[RL] Updates 110, num timesteps 1818624, FPS 710, time 2558.325336933136 
Weights 0.800_0.200, last 10 training episodes: mean/median length 120.2/112.5, mean/median reward 295.4/274.4, min/max reward 211.8/409.4
[RL] Updates 115, num timesteps 1900544, FPS 710, time 2676.8057062625885 
Weights 0.800_0.200, last 10 training episodes: mean/median length 137.6/124.5, mean/median reward 320.5/305.6, min/max reward 233.5/420.7
[RL] Updates 120, num timesteps 1982464, FPS 708, time 2796.7177851200104 
Weights 0.800_0.200, last 10 training episodes: mean/median length 159.7/146.5, mean/median reward 386.1/337.3, min/max reward 295.7/784.8
[RL] Updates 125, num timesteps 2064384, FPS 707, time 2918.7033240795135 
Weights 0.800_0.200, last 10 training episodes: mean/median length 145.0/146.5, mean/median reward 351.2/354.5, min/max reward 244.8/485.3
[RL] Updates 130, num timesteps 2146304, FPS 706, time 3037.2769544124603 
Weights 0.800_0.200, last 10 training episodes: mean/median length 145.7/149.0, mean/median reward 381.6/401.0, min/max reward 285.7/508.7
[RL] Updates 135, num timesteps 2228224, FPS 705, time 3158.5513389110565 
Weights 0.800_0.200, last 10 training episodes: mean/median length 161.0/167.5, mean/median reward 428.1/407.6, min/max reward 201.8/662.4
[RL] Updates 140, num timesteps 2310144, FPS 704, time 3277.61918759346 
Weights 0.800_0.200, last 10 training episodes: mean/median length 140.5/134.5, mean/median reward 353.7/339.3, min/max reward 271.7/498.3
[RL] Updates 145, num timesteps 2392064, FPS 704, time 3397.4685394763947 
Weights 0.800_0.200, last 10 training episodes: mean/median length 164.0/140.5, mean/median reward 398.1/345.4, min/max reward 209.5/957.4
[RL] Updates 150, num timesteps 2473984, FPS 703, time 3519.1563789844513 
Weights 0.800_0.200, last 10 training episodes: mean/median length 130.5/129.0, mean/median reward 328.9/302.6, min/max reward 205.3/487.9
[RL] Updates 155, num timesteps 2555904, FPS 701, time 3641.2539291381836 
Weights 0.800_0.200, last 10 training episodes: mean/median length 157.0/151.5, mean/median reward 396.0/390.5, min/max reward 269.9/626.3
[RL] Updates 160, num timesteps 2637824, FPS 701, time 3761.1021344661713 
Weights 0.800_0.200, last 10 training episodes: mean/median length 162.6/145.5, mean/median reward 424.1/393.1, min/max reward 206.3/729.1
[RL] Updates 165, num timesteps 2719744, FPS 700, time 3880.603288412094 
Weights 0.800_0.200, last 10 training episodes: mean/median length 149.3/143.0, mean/median reward 394.3/387.2, min/max reward 307.6/531.3
[RL] Updates 170, num timesteps 2801664, FPS 700, time 3997.7665343284607 
Weights 0.800_0.200, last 10 training episodes: mean/median length 144.7/146.5, mean/median reward 366.8/361.5, min/max reward 231.7/512.7
[RL] Updates 175, num timesteps 2883584, FPS 701, time 4112.845671653748 
Weights 0.800_0.200, last 10 training episodes: mean/median length 164.3/152.0, mean/median reward 432.0/408.9, min/max reward 250.1/735.6
[RL] Updates 180, num timesteps 2965504, FPS 704, time 4207.146787881851 
Weights 0.800_0.200, last 10 training episodes: mean/median length 173.8/170.0, mean/median reward 436.6/426.7, min/max reward 238.3/797.6
[RL] Updates 185, num timesteps 3047424, FPS 704, time 4326.7033767700195 
Weights 0.800_0.200, last 10 training episodes: mean/median length 181.9/188.5, mean/median reward 486.5/449.6, min/max reward 104.6/790.8
[RL] Updates 190, num timesteps 3129344, FPS 703, time 4446.689161539078 
Weights 0.800_0.200, last 10 training episodes: mean/median length 174.6/169.5, mean/median reward 458.6/437.7, min/max reward 349.8/671.5
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 627, time 26.12355947494507 
Weights 0.600_0.400, last 10 training episodes: mean/median length 20.1/19.0, mean/median reward 13.5/11.0, min/max reward 9.4/27.5
[RL] Updates 5, num timesteps 98304, FPS 728, time 134.9017927646637 
Weights 0.600_0.400, last 10 training episodes: mean/median length 22.2/20.5, mean/median reward 17.0/16.6, min/max reward 10.2/24.6
[RL] Updates 10, num timesteps 180224, FPS 721, time 249.7759907245636 
Weights 0.600_0.400, last 10 training episodes: mean/median length 41.0/41.0, mean/median reward 30.9/32.0, min/max reward 10.7/50.6
[RL] Updates 15, num timesteps 262144, FPS 728, time 359.60641956329346 
Weights 0.600_0.400, last 10 training episodes: mean/median length 48.0/50.5, mean/median reward 35.5/32.1, min/max reward 22.2/51.0
[RL] Updates 20, num timesteps 344064, FPS 728, time 472.1327188014984 
Weights 0.600_0.400, last 10 training episodes: mean/median length 66.8/65.5, mean/median reward 60.5/63.7, min/max reward 27.5/76.7
[RL] Updates 25, num timesteps 425984, FPS 727, time 585.5540690422058 
Weights 0.600_0.400, last 10 training episodes: mean/median length 62.7/62.0, mean/median reward 61.1/60.0, min/max reward 42.9/83.4
[RL] Updates 30, num timesteps 507904, FPS 726, time 699.1620259284973 
Weights 0.600_0.400, last 10 training episodes: mean/median length 77.0/77.0, mean/median reward 75.2/76.6, min/max reward 45.3/103.7
[RL] Updates 35, num timesteps 589824, FPS 725, time 813.2971475124359 
Weights 0.600_0.400, last 10 training episodes: mean/median length 74.1/74.5, mean/median reward 70.5/71.1, min/max reward 41.1/92.9
[RL] Updates 40, num timesteps 671744, FPS 724, time 927.1764028072357 
Weights 0.600_0.400, last 10 training episodes: mean/median length 75.6/73.0, mean/median reward 78.4/77.8, min/max reward 52.6/109.9
[RL] Updates 45, num timesteps 753664, FPS 722, time 1043.2817161083221 
Weights 0.600_0.400, last 10 training episodes: mean/median length 95.9/86.0, mean/median reward 101.6/101.8, min/max reward 51.7/141.5
[RL] Updates 50, num timesteps 835584, FPS 721, time 1158.0194096565247 
Weights 0.600_0.400, last 10 training episodes: mean/median length 88.8/90.0, mean/median reward 96.1/93.3, min/max reward 63.8/144.8
[RL] Updates 55, num timesteps 917504, FPS 719, time 1275.4215621948242 
Weights 0.600_0.400, last 10 training episodes: mean/median length 92.3/91.0, mean/median reward 110.9/110.3, min/max reward 75.4/155.8
[RL] Updates 60, num timesteps 999424, FPS 718, time 1391.5810973644257 
Weights 0.600_0.400, last 10 training episodes: mean/median length 90.9/89.5, mean/median reward 98.2/104.1, min/max reward 56.7/123.4
[RL] Updates 65, num timesteps 1081344, FPS 716, time 1509.5746228694916 
Weights 0.600_0.400, last 10 training episodes: mean/median length 79.1/75.5, mean/median reward 101.7/100.1, min/max reward 85.7/126.5
[RL] Updates 70, num timesteps 1163264, FPS 714, time 1628.111320257187 
Weights 0.600_0.400, last 10 training episodes: mean/median length 96.5/93.0, mean/median reward 119.6/113.2, min/max reward 89.6/164.2
[RL] Updates 75, num timesteps 1245184, FPS 714, time 1743.1843609809875 
Weights 0.600_0.400, last 10 training episodes: mean/median length 104.2/106.5, mean/median reward 128.3/133.0, min/max reward 78.1/164.3
[RL] Updates 80, num timesteps 1327104, FPS 713, time 1860.477292060852 
Weights 0.600_0.400, last 10 training episodes: mean/median length 98.8/98.0, mean/median reward 130.3/134.4, min/max reward 84.9/171.6
[RL] Updates 85, num timesteps 1409024, FPS 712, time 1978.5700435638428 
Weights 0.600_0.400, last 10 training episodes: mean/median length 118.9/108.5, mean/median reward 147.7/138.2, min/max reward 93.4/219.9
[RL] Updates 90, num timesteps 1490944, FPS 710, time 2097.2160658836365 
Weights 0.600_0.400, last 10 training episodes: mean/median length 108.4/104.5, mean/median reward 139.7/127.0, min/max reward 83.3/237.4
[RL] Updates 95, num timesteps 1572864, FPS 710, time 2214.634998321533 
Weights 0.600_0.400, last 10 training episodes: mean/median length 123.9/118.0, mean/median reward 169.9/166.7, min/max reward 97.1/219.5
[RL] Updates 100, num timesteps 1654784, FPS 709, time 2331.8724155426025 
Weights 0.600_0.400, last 10 training episodes: mean/median length 121.2/117.0, mean/median reward 160.7/157.8, min/max reward 69.5/240.4
[RL] Updates 105, num timesteps 1736704, FPS 708, time 2450.7161359786987 
Weights 0.600_0.400, last 10 training episodes: mean/median length 112.8/97.5, mean/median reward 151.5/127.3, min/max reward 78.9/254.4
[RL] Updates 110, num timesteps 1818624, FPS 707, time 2570.4675331115723 
Weights 0.600_0.400, last 10 training episodes: mean/median length 122.9/116.0, mean/median reward 182.8/179.2, min/max reward 130.2/242.9
[RL] Updates 115, num timesteps 1900544, FPS 706, time 2690.4652190208435 
Weights 0.600_0.400, last 10 training episodes: mean/median length 154.1/144.5, mean/median reward 239.8/226.4, min/max reward 96.8/434.5
[RL] Updates 120, num timesteps 1982464, FPS 705, time 2811.2213292121887 
Weights 0.600_0.400, last 10 training episodes: mean/median length 130.3/117.0, mean/median reward 196.3/184.7, min/max reward 158.6/250.5
[RL] Updates 125, num timesteps 2064384, FPS 704, time 2930.610255718231 
Weights 0.600_0.400, last 10 training episodes: mean/median length 156.9/159.0, mean/median reward 238.3/234.0, min/max reward 180.1/319.2
[RL] Updates 130, num timesteps 2146304, FPS 703, time 3049.7947039604187 
Weights 0.600_0.400, last 10 training episodes: mean/median length 135.6/126.5, mean/median reward 213.3/205.8, min/max reward 175.6/318.9
[RL] Updates 135, num timesteps 2228224, FPS 702, time 3170.342342376709 
Weights 0.600_0.400, last 10 training episodes: mean/median length 144.9/122.0, mean/median reward 243.1/199.9, min/max reward 147.3/428.8
[RL] Updates 140, num timesteps 2310144, FPS 701, time 3291.0653388500214 
Weights 0.600_0.400, last 10 training episodes: mean/median length 158.0/151.5, mean/median reward 254.1/236.5, min/max reward 159.1/515.5
[RL] Updates 145, num timesteps 2392064, FPS 701, time 3411.881045103073 
Weights 0.600_0.400, last 10 training episodes: mean/median length 150.2/150.0, mean/median reward 232.6/240.7, min/max reward 133.9/305.0
[RL] Updates 150, num timesteps 2473984, FPS 700, time 3531.455989599228 
Weights 0.600_0.400, last 10 training episodes: mean/median length 160.7/147.5, mean/median reward 277.1/246.7, min/max reward 163.6/495.0
[RL] Updates 155, num timesteps 2555904, FPS 700, time 3651.190101623535 
Weights 0.600_0.400, last 10 training episodes: mean/median length 155.7/134.0, mean/median reward 258.0/218.6, min/max reward 154.8/478.9
[RL] Updates 160, num timesteps 2637824, FPS 699, time 3770.3772048950195 
Weights 0.600_0.400, last 10 training episodes: mean/median length 150.6/149.5, mean/median reward 253.2/253.6, min/max reward 162.7/341.4
[RL] Updates 165, num timesteps 2719744, FPS 699, time 3889.063451528549 
Weights 0.600_0.400, last 10 training episodes: mean/median length 175.7/170.5, mean/median reward 300.0/284.3, min/max reward 187.1/441.6
[RL] Updates 170, num timesteps 2801664, FPS 699, time 4007.0801663398743 
Weights 0.600_0.400, last 10 training episodes: mean/median length 179.1/166.0, mean/median reward 311.5/266.2, min/max reward 188.8/557.5
[RL] Updates 175, num timesteps 2883584, FPS 699, time 4121.122092485428 
Weights 0.600_0.400, last 10 training episodes: mean/median length 180.1/167.0, mean/median reward 319.7/285.8, min/max reward 182.7/562.8
[RL] Updates 180, num timesteps 2965504, FPS 702, time 4218.916672229767 
Weights 0.600_0.400, last 10 training episodes: mean/median length 174.5/173.5, mean/median reward 305.2/300.4, min/max reward 207.6/437.5
[RL] Updates 185, num timesteps 3047424, FPS 702, time 4337.473290681839 
Weights 0.600_0.400, last 10 training episodes: mean/median length 171.5/165.0, mean/median reward 300.0/284.0, min/max reward 150.2/594.4
[RL] Updates 190, num timesteps 3129344, FPS 702, time 4455.519704341888 
Weights 0.600_0.400, last 10 training episodes: mean/median length 168.0/165.0, mean/median reward 285.7/285.6, min/max reward 128.9/486.6
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 609, time 26.869642734527588 
Weights 1.000_0.000, last 10 training episodes: mean/median length 23.3/20.5, mean/median reward 69.8/63.2, min/max reward 45.0/121.7
[RL] Updates 5, num timesteps 98304, FPS 701, time 140.06289291381836 
Weights 1.000_0.000, last 10 training episodes: mean/median length 32.5/33.0, mean/median reward 98.3/97.5, min/max reward 74.7/127.0
[RL] Updates 10, num timesteps 180224, FPS 711, time 253.39602661132812 
Weights 1.000_0.000, last 10 training episodes: mean/median length 45.1/46.0, mean/median reward 143.1/141.6, min/max reward 61.7/262.5
[RL] Updates 15, num timesteps 262144, FPS 714, time 366.82756876945496 
Weights 1.000_0.000, last 10 training episodes: mean/median length 63.3/54.0, mean/median reward 206.2/184.3, min/max reward 120.1/493.0
[RL] Updates 20, num timesteps 344064, FPS 714, time 481.5022654533386 
Weights 1.000_0.000, last 10 training episodes: mean/median length 68.7/76.0, mean/median reward 213.1/220.3, min/max reward 67.3/283.1
[RL] Updates 25, num timesteps 425984, FPS 716, time 594.4781816005707 
Weights 1.000_0.000, last 10 training episodes: mean/median length 71.7/72.5, mean/median reward 233.3/228.4, min/max reward 184.2/317.5
[RL] Updates 30, num timesteps 507904, FPS 716, time 708.515221118927 
Weights 1.000_0.000, last 10 training episodes: mean/median length 74.8/75.5, mean/median reward 257.3/274.9, min/max reward 174.5/342.0
[RL] Updates 35, num timesteps 589824, FPS 713, time 826.1407995223999 
Weights 1.000_0.000, last 10 training episodes: mean/median length 81.1/71.5, mean/median reward 267.5/247.3, min/max reward 182.4/445.3
[RL] Updates 40, num timesteps 671744, FPS 712, time 943.1524293422699 
Weights 1.000_0.000, last 10 training episodes: mean/median length 89.9/81.5, mean/median reward 318.4/317.6, min/max reward 144.3/476.5
[RL] Updates 45, num timesteps 753664, FPS 710, time 1061.2103550434113 
Weights 1.000_0.000, last 10 training episodes: mean/median length 85.1/88.0, mean/median reward 307.9/310.5, min/max reward 230.0/385.3
[RL] Updates 50, num timesteps 835584, FPS 709, time 1177.1747181415558 
Weights 1.000_0.000, last 10 training episodes: mean/median length 90.0/90.5, mean/median reward 312.0/299.7, min/max reward 237.5/420.7
[RL] Updates 55, num timesteps 917504, FPS 708, time 1294.7607247829437 
Weights 1.000_0.000, last 10 training episodes: mean/median length 103.9/98.0, mean/median reward 366.2/352.8, min/max reward 283.4/528.0
[RL] Updates 60, num timesteps 999424, FPS 709, time 1407.757567167282 
Weights 1.000_0.000, last 10 training episodes: mean/median length 108.0/101.0, mean/median reward 381.3/366.8, min/max reward 275.0/562.3
[RL] Updates 65, num timesteps 1081344, FPS 711, time 1520.7633678913116 
Weights 1.000_0.000, last 10 training episodes: mean/median length 108.9/99.5, mean/median reward 393.1/377.0, min/max reward 322.6/530.5
[RL] Updates 70, num timesteps 1163264, FPS 711, time 1633.9041905403137 
Weights 1.000_0.000, last 10 training episodes: mean/median length 106.5/94.5, mean/median reward 395.6/363.3, min/max reward 296.5/573.6
[RL] Updates 75, num timesteps 1245184, FPS 710, time 1751.9370939731598 
Weights 1.000_0.000, last 10 training episodes: mean/median length 104.0/109.0, mean/median reward 383.3/378.8, min/max reward 299.3/445.9
[RL] Updates 80, num timesteps 1327104, FPS 709, time 1869.240783214569 
Weights 1.000_0.000, last 10 training episodes: mean/median length 96.7/93.0, mean/median reward 354.3/356.8, min/max reward 289.9/421.5
[RL] Updates 85, num timesteps 1409024, FPS 708, time 1988.8541676998138 
Weights 1.000_0.000, last 10 training episodes: mean/median length 113.4/100.0, mean/median reward 403.4/364.9, min/max reward 293.7/718.8
[RL] Updates 90, num timesteps 1490944, FPS 708, time 2105.774583339691 
Weights 1.000_0.000, last 10 training episodes: mean/median length 108.3/110.5, mean/median reward 417.4/444.2, min/max reward 286.6/528.5
